sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 07, 2026 11:39:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=4)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
      +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     3(3)	     0(0)	     0(0)	     0(0)	
      +async_clk.wr2rd_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	   10(10)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     4(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=4)	     0(0)	     0(0)	     0(0)	     3(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=3)	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=2)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
    +r_data_inst:efx_fifo_top_2d715ebddfec4a2289c485ca66dd30eb(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=16,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=6,UNDERFLOW_PROTECT=0)	    37(0)	     0(0)	     0(0)	    23(0)	     0(0)	     4(0)	     0(0)	
     +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb(ACTIVE_LOW=0)	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
