JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：Atari-XT-JLCPCB Assembly Order.xlsx,,,Download Time：2026-07-17 00:27:52,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：88.0650,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"J11,J12,J14,J15,J16",,10018784-10201TLF,1001878410201TLF,,Select by System,10018784-10201TLF,Amphenol ICC,插件,-55℃~+85℃ 1mm 64P Copper alloy Gold Through Hole 插件 Edgeboard Connectors ROHS,Edgeboard Connectors,,C598489,https://jlcpcb.com/partdetail/AmphenolICC-1001878410201TLF/C598489,Extended,25,25 JLCPCB,12.58
J13,,PR20204VBNN,HDRV4W64P0X254_1X4_1016X250X860P,,Select by Customer,HX PZ2.54-1x4P ZZ,hanxia,"插件,P=2.54mm","-40℃~+105℃ 1 1kV 1x4P 2.54mm 2.5mm 3A 3mm 4P 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,1.The comment (HX PZ2.54-1x4P ZZ) of this part does not match the one (PR20204VBNN) provided in your BOM. Please confirm;,C32713270,https://jlcpcb.com/partdetail/hanxia-HX_PZ2_54_1x4PZZ/C32713270,Extended,6,6 JLCPCB,0.1668
J17,,FTSH-105-01-L-DV-K,FTSH10501LDVK,,Select by System,FTSH-105-01-L-DV-K,Samtec,"SMD,P=1.27mm","-55℃~+125℃ 1.27mm 10P 2 2x5P 3.05mm 3.4A Black Gold Phosphor bronze Pin Header Surface Mount,Vertical SMD,P=1.27mm Pin Headers ROHS",Pin Headers,,C5155080,https://jlcpcb.com/partdetail/Samtec-FTSH_105_01_L_DVK/C5155080,Extended,5,5 JLCPCB,7.1045
"J18,J19,J20",,PJ-320E,PJ320E,,Select by System,PJ-320E,HOOYA,插件,3.5mm Headphone Jack Brass Silver Plugin Audio Connectors ROHS,Audio Connectors (Headphones),,C2939183,https://jlcpcb.com/partdetail/HOOYA-PJ320E/C2939183,Extended,15,15 JLCPCB,1.9725
J21,,KLDX-0202-BC,KLDX0202BC,,Select by System,KLDX-0202-BC,Kycon,插件,-25℃~+85℃ 2.5mm 24V 3.5A 6.4mm DC Power Jack Right Angle 插件 DC Power Connectors ROHS,Global Sourcing Parts,,C19842599,https://jlcpcb.com/partdetail/Kycon-KLDX_0202BC/C19842599,Extended,5,5 My Parts,0
"JY1,JY2,JY3,JY4",,DE09-PL-25,DE09PL25,,Select by System,DE09-PL-25,ADAM TECH,弯插,-40℃~+105℃ 1A 2 250V 9P Black Male Right Angle Standard D-Sub 弯插 D-Sub / VGA Connectors ROHS,D-Sub / VGA Connectors,,C17613504,https://jlcpcb.com/partdetail/ADAMTECH-DE09_PL25/C17613504,Extended,20,20 My Parts,0
"R1,R2,R3,R4,R5,R6,R7,R8",,1K,0402,,Unconfirmed,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1001TCE) of this part does not match the one (1K) provided in your BOM. Please confirm;,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,50,50 JLCPCB,0.4
"R9,R11,R17,R18,R19,R20,R51,R52,R54,R60,R61,R62,R63,R64,R65,R66",,10K,0402,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,90,90 JLCPCB,0.828
"R10,R13,R14,R15,R16",,100K,0402,,Unconfirmed,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1003TCE) of this part does not match the one (100K) provided in your BOM. Please confirm;,C25741,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741,Basic,35,35 JLCPCB,0.2275
R12,,"12K,1%",0402,,Select by Customer,0402WGF1202TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 12kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,"1.The comment (0402WGF1202TCE) of this part does not match the one (12K,1%) provided in your BOM. Please confirm;",C25752,https://jlcpcb.com/partdetail/26495-0402WGF1202TCE/C25752,Basic,20,20 JLCPCB,0.136
"R21,R23,R24,R25,R26,R28,R29,R67",,"220R,1/8W",0803,,Select by Customer,0805W8F2200T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 220Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C17557,https://jlcpcb.com/partdetail/18245-0805W8F2200T5E/C17557,Basic,50,50 JLCPCB,0.235
"R22,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R53,R55,R56,R57,R58,R59",,4.7K,0402,,Unconfirmed,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF4701TCE) of this part does not match the one (4.7K) provided in your BOM. Please confirm;,C25900,https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900,Basic,105,105 JLCPCB,0.7035
"R27,R30,R31,R32,R33,R34,R35,R36,R37,R38",,33R,CRCW0402200KFKED,,Select by Customer,0402WGF330JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25105,https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105,Basic,60,60 JLCPCB,0.402
"U1,U4",,MPZ1608S601A,0603,,Select by System,MPZ1608S601ATA00,TDK,0603,-55℃~+125℃ 1 150mΩ 1A 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS,Ferrite Beads,,C107335,https://jlcpcb.com/partdetail/TDK-MPZ1608S601ATA00/C107335,Extended,20,20 JLCPCB,0.36
"U2,U5",,M55-7008042R,M55-7008042R,,Select by System,M55-7008042R,Harwin,"SMD,P=1.27mm","-55℃~+125℃ 1.27mm 1.27mm 1.2A 100V 2 2x40P 40 80P LCP Phosphor bronze Surface Mount,Vertical Tin UL94V-0 SMD,P=1.27mm Wire To Board Connector ROHS",Wire To Board Connector,,C17577269,https://jlcpcb.com/partdetail/Harwin-M557008042R/C17577269,Extended,10,10 JLCPCB,22.853
Y1,,8MHz,C3E,,Select by Customer,7B008000F01,HD,SMD3225-4P,8MHz 8pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C648984,https://jlcpcb.com/partdetail/HD-7B008000F01/C648984,Extended,7,7 JLCPCB,1.0941
Y2,,24MHz,RH10024000181020EXTTR,,Select by Customer,OT2EL4C4JI-111OLP-24M,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 1.8V~3.3V 24MHz CMOS ±10ppm ±20ppm SMD3225-4P Crystal Oscillators ROHS,Crystal Oscillators,,C5203548,https://jlcpcb.com/partdetail/5892910-OT2EL4C4JI_111OLP24M/C5203548,Extended,5,5 JLCPCB,2.2905
